Código ; Descripción ; Cod. Comisión ; Turno ; Días ; Detalle 
;;1362 ;M ;LuJu08a12Sa10a12 ;DETALLE 
;;2964 ;N ;MaVi19a23Sa14a16 ;DETALLE 
;;2976 ;N ;MaVi19a23Sa12a14 ;DETALLE 
1114;BASE DE DATOS;6368 ;M ;Sa08a12 (semipresencial) ;DETALLE 
;;1947 ;N ;Lu19a23Ju19a21 ;DETALLE 
1115;SISTEMAS OPERATIVOS;1333 ;M ;LuMi08a12 ;DETALLE 
;;1939 ;N ;LuMi19a23 ;DETALLE 
;;2949 ;N ;MaJu19a23 ;DETALLE 
1116;ANALISIS DE SISTEMAS;2362 ;M ;MaVi08a12Sa10a12 ;DETALLE 
;;1961 ;N ;LuJu19a23Sa08a10 ;DETALLE 
1117;CALCULO NUMERICO;4300 ;M ;Ju08a12 ;DETALLE 
;;4900 ;N ;Ju19a23 ;DETALLE 
1118;INGENIERIA DE REQUERIMIENTOS;2900 ;N ;Ma19a23 ;DETALLE 
1119;COMUNICACION DE DATOS;3300 ;M ;Mi08a12 ;DETALLE 
;;1900 ;N ;Lu19a23 ;DETALLE 
1120;961;N ;LuMi19a23Sa08a10 ; ;DETALLE 
;961;N ;MiVi19a23Sa08a10 ; ;DETALLE 
dANALISIS DE SOFTWARE;900;N ;Vi19a23 ; ;DETALLE 
dREDES DE COMPUTADORAS;959;N ;MiVi19a23 ; ;DETALLE 
dSISTEMAS OPERATIVOS AVANZADOS;900;N ;Lu19a23 ; ;DETALLE 
;900;N ;Ma19a23 ; ;DETALLE 
;900;N ;Mi19a23 ; ;DETALLE 
dLENGUAJES Y COMPILADORES;900;N ;Lu19a23 ; ;DETALLE 
;900;N ;Ma19a23 ; ;DETALLE 
dGESTION ORGANIZACIONAL;939;N ;LuMi19a23 ; ;DETALLE 
;949;N ;MaJu19a23 ; ;DETALLE 
dINGENIERIA DE SOFTWARE;962;N ;MaJu19a23Sa10a12 ; ;DETALLE 
dELEMENTOS DE INTELIGENCIA ARTIFICIAL;900;N ;Ma19a23 ; ;DETALLE 
dELECTIVA I;o Ofertada; ; ; ;DETALLE 
dAUTOMATAS Y LENGUAJES FORMALES;900;N ;Lu19a23 ; ;DETALLE 
;900;N ;Vi19a23 ; ;DETALLE 
dELECTIVA II;o Ofertada; ; ; ;DETALLE 
dELECTIVA III;o Ofertada; ; ; ;DETALLE 
dPROYECTO DE FIN DE CARRERA;o Ofertada; ; ; ;DETALLE 
dPRACTICA PROFESIONAL SUPERVISADA;668;T ;Vi14a18 (semipresencial) ; ;DETALLE 
dTECNICAS AVANZADAS EN BASES DE DATOS;900;N ;Lu19a23 ; ;DETALLE 
dSISTEMAS DE TRANSMISION Y CONMUTACION;o Ofertada; ; ; ;DETALLE 
Electiva I-II-III);900;N ;Vi19a23 ; ;DETALLE 
Electiva I-II-III);968;N ;Vi19a23 (semipresencial) ; ;DETALLE 
dLENGUAJES DESCRIPTIVOS DE HARDWARE;o Ofertada; ; ; ;DETALLE 
Electiva I-II-III);900;N ;Ju19a23 ; ;DETALLE 
Electiva I-II-III);o Ofertada; ; ; ;DETALLE 
dPROGRAMACION PAGINAS WEB;o Ofertada; ; ; ;DETALLE 
Electiva I-II-III);o Ofertada; ; ; ;DETALLE 
Electiva I-II-III);900;N ;Lu19a23 ; ;DETALLE 
Electiva I-II-III);900;N ;Vi19a23 ; ;DETALLE 
Electiva I-II-III);900;N ;Mi19a23 ; ;DETALLE 
